Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Furniture,Garage,Amenities,Appliances,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Links
House,Stone,100 sq.m.,1,3,1,Partial Renovation,4 sq.m.,"Վանատուր թաղամաս 2, Հրազդան","110,000 ֏ monthly",AMD,Дома хороши састаянен есть гарячие води и холодние и отплениеTranslated from Armenian,Nov-24-2022_22-35,Available,Not available,INternet,"FRidge, stove, washing machine, water heater, iron, hair dryer",8+,Yes,No,Not included,By Agreement,https://list.am/en/item/17746998
House,Stone,450 sq.m.,3,4,3+,Designer Renovation,750 sq.m.,"Սարալանջի 1-ին փողոց 11, Ծաղկաձոր","55,000 ֏ daily",AMD,Ani Resort Tsaghkadzor• 4 bedrooms• 4 bathrooms• 8 people (+ 1)• large living room• grill separately• wifi• spacious yard• garage• free parking• 4 balconies• kitchen equipped with everythingAni Resort Tsaghkadzor is located next to (Golden World) The cottages have all the amenities for your complete relaxation.• large living room• grill separately• wifi• spacious yard• garage• free parking• 4 balconies• kitchen equipped with everythingAni Resort Tsaghkadzor is located next to (Golden World) The cottages have all the amenities for your complete relaxation.Translated from Armenian,Nov-24-2022_22-35,,,,,,,,,,https://list.am/en/item/18268874
Country House,Stone,1500 sq.m.,2,6,2,Designer Renovation,3000 sq.m.,Kotayk › Tsakhkadzor,"120,000 ֏ daily",AMD,"Spend your unforgettable day in this luxurious luxury private house, which is located in the center of Tsakhkadzor.* 5 bedrooms (TV in all bedrooms)* 2 bathrooms (on the 1st and 2nd floors* Barbecue (barbecue bottle)* Tableware, bedding* Billiards* Outdoor pavilion (which can accommodate up to 12 people)* WI-FI + TV Ucom:* 6 car parking in the yardThe house can accommodate up to 15 people with accommodation, 20 people without accommodation.From Monday to Thursday, 100,000 drams.From Friday to Sunday, 120,000 - 140,000 drams.Spend your vacation in beautiful Tsakhkadzor.Call in advance to make a reservation.Check-in: From 14:00Check-out: Until exit 12:00THIS LUXURY VILLA, WHICH IS LOCATED IN THE HEART OF TSAGHKADZOR, IS FOR RENT.Translated from Armenian",Nov-24-2022_22-35,Available,3 or more spots,"TElevision, internet, fireplace, barbecue oven, billiard, gazebo, alarm system","FRidge, microwave, coffee maker, washing machine, water heater",8+,Yes,No,Included,By Agreement,https://list.am/en/item/17237181
Country House,Stone,65 sq.m.,1,3,2,Euro Renovation,50 sq.m.,"9-я улица 97, Зовуни","16,000 ֏ daily",AMD,Отличный дом в хорошем месте 3ком. На семью максимум 3человек отличное место центр города можно помесячно от 6месяцев и больше Ереван шенгавит,Nov-24-2022_22-35,Available,Not available,"TElevision, internet, air conditioner","FRidge, microwave, washing machine, water heater, iron, hair dryer",5,Yes,No,Not included,1 month,https://list.am/en/item/18079244
House,Stone,220 sq.m.,1,4,1,Cosmetic Renovation,800 sq.m.,"Արայի թաղամաս 1, 1-ին նրբանցք","140,000 ֏ monthly",AMD,"A 4-room house for rent in Ara-Geghetsik district (next to Yeraz Hotel) The house is sunny, dry, with necessary property for living.Translated from Armenian",Nov-24-2022_22-35,,,,,,,,,,https://list.am/en/item/18282885
House,Stone,160 sq.m.,2,6,2,Major Renovation,260 sq.m.,Kotayk › Zovuni,"$1,100 monthly",USD,"It is close to Davitashen, the bus stop is close to the house, wifi is available, all household amenities are available, call if you have any questions.Translated from Armenian",Nov-24-2022_22-35,,,,,,,,,,https://list.am/en/item/18350736
Country House,Monolith,1500 sq.m.,2,6,3+,Designer Renovation,3000 sq.m.,Kotayk › Jrvezh,"130,000 ֏ daily",AMD,"A villa in Jrvezh is for daily rent.* Swimming pool (filterable)* 4 bathrooms (on the 1st floor, 1 in the bedroom, 1 for 4 bedrooms and outside)* Booth hunting (closed and open up to 25 persons)* Crockery (high quality)* 5 bedrooms (one with fireplace)* hunting style living room (with fireplace)* kamen (wood for kamen and barbecue)Check in (entrance) – 13:00Check out - 11:00The price shown is without overnight stay.From Friday to Sunday, the price may be different.Call in advance to book.Code Jrvej6Translated from Armenian",Nov-24-2022_22-35,Available,3 or more spots,,,8+,Yes,No,Included,By Agreement,https://list.am/en/item/18009949
Country House,Monolith,1000 sq.m.,2,6,3+,Designer Renovation,2000 sq.m.,Kotayk › Jrvezh,"120,000 ֏ daily",AMD,"Luxurious villa for rent in Jrvezh.* 5 bedrooms* Pool on 10x4 (filtered)* 3 bathrooms* living room* sauna* Billiards* dishes, bedding* Ping-pong* Internet wi-fi* barbecue (barbecue bottle)* pavilion for up to 25 peopleCheck in - 14:00:Check out - 12:00:Up to 10 people can stay overnight in the house.Price varies depending on the number of days, season and number of people.Call in advance to make a reservation.Translated from Armenian",Nov-24-2022_22-35,Available,3 or more spots,,,8+,Yes,No,Included,By Agreement,https://list.am/en/item/17326145
Country House,Monolith,3000 sq.m.,2,6,3+,Designer Renovation,1500 sq.m.,Kotayk › Garni,"100,000 ֏ daily",AMD,"A luxurious villa is for daily rent in Garni, near the cathedral.* 5 bedrooms* dishes, bedding* Internet wi-fi* billiards* sauna* mangal (barbecue bottle)* swimming pool* booth* Table with chairs for up to 15 peopleThe house can accommodate up to 12 people overnightCheck-in: From entry 13:00Check-out: Until exit 12:00Call in advance to book.We are waiting for you with love.Code GarniTranslated from Armenian",Nov-24-2022_22-35,Available,3 or more spots,,,8+,Yes,No,Included,By Agreement,https://list.am/en/item/18009375
Country House,Stone,600 sq.m.,3,5,3+,Major Renovation,600 sq.m.,"Այգեգործական փողոց 4, Ջրվեժ","100,000 ֏ daily",AMD,"Լավագույն վայրը Ձեր ամառը վայելելու համար #GuestGarden-ի շքեղ առանձնատունն էՍիրով սպասում ենքՄենք ապահովում ենք՝️Լողավազան️Մանկական լողավազան️Ամառային խոհանոց️Սպասք️Տաղավար՝ նախատեսված 50-80 անձի համար—երկ—ուրբ—100000 դրամ—Շաբաթ և կիրակի օրերին արժեքը՝ 120.000դրամԱռանց գիշերակացիЛучшее место, чтобы насладиться летом - это роскошный особняк #GuestGardenС нетерпением ждем️Бассейн️Детский бассейн️Летняя кухня.️Посуда️ Павильон на 50-80 человекДля получения дополнительной информации звоните",Nov-24-2022_22-35,Available,3 or more spots,,,8+,Yes,No,Included,Without prepayment,https://list.am/en/item/18077155
Country House,Monolith,160 sq.m.,3,5,3+,Designer Renovation,590 sq.m.,"Jrvezh 2-nd street, Jrvej","$2,500 monthly",USD,"A private house for rent in Jrvezh with an outdoor swimming pool.Equipped with all amenitiesOutdoor swimming pool with high quality filtration systemGuns,In the garden: Sofas, rocking chairsGrill with skewersTonir-BathroomsRefrigeratorsPlayerWaitTranslated from Armenian",Nov-24-2022_22-35,Available,3 or more spots,,,8+,Yes,No,Not included,By Agreement,https://list.am/en/item/18146423
House,Monolith,800 sq.m.,2,3,3+,Designer Renovation,1500 sq.m.,"Jrvezh 2-nd street, Yerevan","130,000 ֏ daily",AMD,"Villa in Jarvezh.It is located next to the National Park.House for daily rent.With and without overnight accommodation.Swimming pool,fireplace,Covered paviliongreen garden,Garage.The villa has a large living room,3 bedrooms,3 bathrooms,kitchen.We provide a cool club where you can dance, organize games and have fun.The villa is available from 1:00 AM to 11:00 AM the following day.Without Villa in Jrvezh.It is located next to the National Park.House for daily rent.With and without overnight accommodation.Swimming pool,fireplace,Covered paviliongreen garden,Garage.The villa has a large living room,3 bedrooms,3 bathrooms,kitchen.We provide a cool club where you can dance, organize games and have fun.The villa is available from 1:00 AM to 11:00 AM the following day.Prices without overnight stay are discounted.Please call between 11:00 and 21:00Translated from Armenian",Nov-24-2022_22-35,Available,1 spot,,,6,Yes,Yes,By Agreement,By Agreement,https://list.am/en/item/18235743
Country House,Stone,1300 sq.m.,2,2,1,Partial Renovation,1200 sq.m.,Kotayk › Nurnus,"15,000 ֏ daily",AMD,"Swimming pool* 2 bedrooms* bathroom* Living room* Barbecue (barbecue bottle)* WI-FI-internet* parking* dishes, beddingpavilion for 25 people.The house can accommodate 10 people overnight. Gisherakacov 50,000 dram:Translated from Armenian",Nov-24-2022_22-35,,,,,8+,Yes,Yes,Not included,Without prepayment,https://list.am/en/item/16239687
Country House,Stone,1200 sq.m.,2,2,1,Cosmetic Renovation,1000 sq.m.,Kotayk › Nurnus,"15,000 ֏ daily",AMD,A summer house with a large pool and a beautiful yard is for daily rent. There is a barbecue in the yard. The spacious garden of the summer house is designed for a wonderful rest. Gisherakacov 50.000Translated from Armenian,Nov-24-2022_22-35,,,,,8+,Yes,Yes,By Agreement,1 month,https://list.am/en/item/16223658
Country House,Stone,1000 sq.m.,3,1,1,Major Renovation,1000 sq.m.,"Լուսավորության փողոց 1/1, Ձորաղբյուր","120,000 ֏ daily",AMD,"A fairytale park is for rent in Dzoraghbyur for various events, the park is equipped with all the amenities for a complete rest.• two booths• tennis table• sieve• spacious playground with lawn• unique fir trees• parking lot• All utilities• we also provide a three-story mansion. The third floorAvailable for daily rent and long termThe price depends on the number of days and people.Pictures and prices are real!Translated from Armenian",Nov-24-2022_22-35,,,,,,,,,,https://list.am/en/item/18024265
Country House,Stone,300 sq.m.,2,3,2,Designer Renovation,1200 sq.m.,Kotayk › Argel,"80,000 ֏ daily",AMD,"Summer house for daily rent, has a large heated and filtered swimming pool, toaster, grill, pavilions. Large and spacious green area.The daily wage is 80,000100,000 drams on Saturdays and Sundays.Check-in: 10:00Departure: 22:00Overnight stay is given only to families, the price is 120,000Translated from Armenian",Nov-24-2022_22-35,,,,,,,,,,https://list.am/en/item/18190918
House,Stone,1200 sq.m.,2,3,2,Designer Renovation,,Kotayk › Argel,"79,900 ֏ daily",AMD,"A summer house with all amenities is for daily rent for various events and pleasant entertainment. It has a sauna, a large heated indoor pool, a large garden, a summer house, a barbecueThe summer house is located in Argel, Lusakert, 25 km away from Yerevan.Translated from Armenian",Nov-24-2022_22-35,,,,,,,,,,https://list.am/en/item/17948954
Country House,Stone,300 sq.m.,1,1,1,Designer Renovation,200 sq.m.,"Dzoraghbyur 1-st block, Dzoraxbyur","40,000 ֏ daily",AMD,"A country house recreation area is for daily rent in the district called Dzoraghbyur Dachaner. 15 km away from Yerevan city. An ideal place for your unforgettable vacation. In the recreation area there are all kinds of facilities: Summer kitchen, hot and cold water, gas cooler, green orchard, bathroom, hammocks, rocking chair, swimming pool, pavilion.We also provide skewers and dishes if desired.On working days, the price is 30,000 dinars.The house is rented with an extra charge in case of overnight stay.It is also available for long-term rent.Translated from Armenian",Nov-24-2022_22-35,,,,,8+,Yes,No,By Agreement,By Agreement,https://list.am/en/item/17736382
Country House,Wooden,85 sq.m.,2,4,2,Designer Renovation,500 sq.m.,"Mher Mkrtchyan street, Ծաղկաձոր","60,000 ֏ daily",AMD,"Very pleasant and quiet environment, has all the communal comforts. It has a garden rich in fir trees, indoor and outdoor pavilions, barbecue, parking space. Long-term is also possible.Translated from Armenian",Nov-24-2022_22-35,,,,,,,,,,https://list.am/en/item/17585604
Country House,Stone,150 sq.m.,4+,4,1,Major Renovation,250 sq.m.,"Տանձաղբյուրի փողոց 11, Ծաղկաձոր","60,000 ֏ daily",AMD,"ԾաղկաձորՎայելեք Ծաղկաձորյան Ձեր հանգիստը այս հարմարավետ առանձնատանը: Ապահովված է ջեռուցումով և տաք ջրով:Առանձնատանը կարող են գիշերել մինչև 8-12 հոգի: Առկա է սպասք, սպիտակեղեն, կենցաղային պարագաներ:Տան տեխնիկան, կահույքը բոլորովին նոր են* 4 ննջարան,* 1 սանհանգույց* սպասք* միկրոալիքային վառարան* սառնարան* սպիտակեղեն, սրբիչներ* մանղալ, խորոված պատրաստելու համար անհրաժեշտ պարագաներ* սմարթ հեռուստացույց* wi-fiՏանը գիշերակացով կարող է մնալ 13 անձ։24 ժամ հսկողությամբ ավտոկանգառНаслаждайтесь отдыхом в Цахкадзоряне в этом комфортный частном доме. Обеспечены отоплением и горячей водой.На вилле могут разместиться до 8-12 человек. Посуда, постельное белье, предметы быта имеются.Бытовая техника, мебель новые* 4 спальни,* 1 ванная комната* блюда* микроволновая печь* холодильник* белье, полотенца* Гриль, принадлежности для гриля* Smart TV* Wi-Fi:В доме могут остаться на ночь 13 человек.Круглосуточная охраняемая парковкаTranslated from Armenian",Nov-24-2022_22-35,Available,3 or more spots,"TElevision, internet, air conditioner, barbecue oven, alarm system","FRidge, stove, microwave, coffee maker, dishwasher, washing machine, drying machine, water heater, iron, hair dryer",8+,Yes,No,Included,Without prepayment,https://list.am/en/item/16352281
House,Stone,640 sq.m.,2,8+,3+,Old Renovation,2800 sq.m.,"Улица Генерала Нвер Сафаряна 10/1, Ереван",500 ֏ monthly,AMD,Дом 10 комнат 9 бесетки рядом река раздан 2 этажа,Nov-24-2022_22-35,,,,,8+,Yes,Yes,By Agreement,1 month,https://list.am/en/item/18363586
House,Stone,65 sq.m.,1,2,1,Designer Renovation,100 sq.m.,Kotayk › Tsakhkadzor,"70,000 ֏ daily",AMD,"Quite affordable compared to hotels.All utilities available, Free WI-FI. It is located next to ""Kecharis"" hotel. There is a large, comfortable yard, barbecue grill, toaster, table tennis and other facilities for FAMILY recreation.For a maximum of 6 people, the AMANORYA package is still available, starting from 5 days, the cost of the day is 70,000 drams. Owner of…Translated from Armenian",Nov-24-2022_22-35,Available,1 spot,,,6,Yes,Yes,Included,By Agreement,https://list.am/en/item/17724951
House,Stone,100 sq.m.,1,4,2,Major Renovation,200 sq.m.,"Kecharetsi St, Tsaghkadzor","40,000 ֏ daily",AMD,"Quite affordable compared to hotels.All utilities available, Free WI-FI, table tennis/. It is located next to ""Kecharis"" hotel. There is a large, comfortable yard, bisetka, barbecue grill, toaster and other facilities for FAMILY recreation.3 rooms for a maximum of 8 persons andliving room.Translated from Armenian",Nov-24-2022_22-35,,,,,8+,Yes,No,Included,By Agreement,https://list.am/en/item/17111572
House,Stone,150 sq.m.,2,5,3+,Major Renovation,800 sq.m.,Kotayk › Ptghni,"$1,400 monthly",USD,"A two-story stone house is for rent in Ptghni. The distance from Yerevan - Sevvan highway is 120 m. The house is furnished with furniture and household appliances. All utilities are available. 3 bedrooms + closet, 1 living room with kitchen, recreation room, 2 pavilions (closed and open), a garden with a grove, a brick grill, a covered parking lot. The distance from Yerevan city center to the private house is 20 minutes by car.Translated from Armenian",Nov-24-2022_22-35,,,,,,,,,,https://list.am/en/item/18321687
Country House,Stone,150 sq.m.,2,3,2,Euro Renovation,700 sq.m.,"Arzni Highway, Abovyan","15,000 ֏ daily",AMD,"A private house in Nurnus is for daily rent. There is a filtered pool, refrigerator, TV, gas, constant cold and hot water, dynamic bluetooth, outdoor pavilion, barbecue, large garden with fruit trees, swings. It is provided together with the house, which has 2 bedrooms, 2 bathrooms, dishes. Beautiful view of Mount Ara. The best place to celebrate family and corporate events, an economical option. The daily wage is 15,000 AMD. 20,000 drams per night.Translated from Armenian",Nov-24-2022_22-35,,,,,8+,Yes,No,Included,By Agreement,https://list.am/en/item/17610877
Country House,Stone,106 sq.m.,2,3,2,Designer Renovation,700 sq.m.,Kotayk › Argel,"50,000 ֏ daily",AMD,"The mansion has2 bedrooms, (11 people can stay overnight)The booth is designed for 25-30 people.Playground for childrenMangal.WiFi:Hot and cold waterMusical centerMangalBonfireBeautiful and green yardClean poolTo make a reservation, call: ️Translated from Armenian",Nov-24-2022_22-35,Available,3 or more spots,,,2,Yes,Yes,Included,By Agreement,https://list.am/en/item/18040700
House,Stone,106 sq.m.,2,3,1,Cosmetic Renovation,700 sq.m.,Kotayk › Argel,"800,000 ֏ monthly",AMD,"For rent in Lusakert, own house with all its facilities, heating with baxi, dishes, gas, hot and cold water, wi-fi, smart TV, refrigerator. Call for detailed informationTranslated from Armenian",Nov-24-2022_22-35,Available,3 or more spots,,,2,Yes,Yes,By Agreement,By Agreement,https://list.am/en/item/18348386
Country House,Stone,108 sq.m.,2,3,1,Major Renovation,700 sq.m.,Kotayk › Argel,"50,000 ֏ daily",AMD,"The house has'2 bedrooms (10 people can spend the night)1 spacious living room,1 bathroomThe pavilion is designed for 25-30 people.Playground for childrenMangal.Wi-fi:Hot and cold water, gasMusic CenterBonfireBeautiful green yardClean poolMore information և:To book, call ️:Translated from Armenian",Nov-24-2022_22-35,,,,,,,,,,https://list.am/en/item/17685614
House,Monolith,250 sq.m.,2,5,3+,Designer Renovation,500 sq.m.,"Jrvezh 2-nd street, Yerevan","$3,500 monthly",USD,"Сдается с европейским дизайном элегантный дом, красивый вид, 2 этажный дом, 5 комнат, открытый бассейн, летняя беседка, камин, 2 открытых балкона. (2 этажа, 250 кв / м жилая, 500 квм земля. Постоянная горячая и холодная вода, система отопления,ТВ, Интернет Wi-Fi, кондиционер.Ворота с дистанционным управлением, парковка на 5 машины, сигнализация.1 этаж - гостиная, кухня, санузел, 1 спальня с душевой, 2 туалета,2 этаж - прихожая, 3 спальни, одна из которых имеет свой санузел и открытый балкон, в другой спальне есть французский балкон. По вопросам звоните или пишите по следующим номером.",Nov-24-2022_22-35,Available,2 spots,,,5,Yes,No,Not included,1 month,https://list.am/en/item/17685627
Country House,Monolith,250 sq.m.,2,4,2,Designer Renovation,200 sq.m.,Kotayk › Jrvezh,"$1,500 monthly",USD,"Капитальный ремонт мебели и битавая техника, система отопления, интернет, бассейн, мангал, хороший двор. По вопросам звоните.",Nov-24-2022_22-35,Available,3 or more spots,,,6,Yes,Yes,Not included,1 month,https://list.am/en/item/17482301
House,Stone,160 sq.m.,2,5,3+,Designer Renovation,500 sq.m.,"Jrvezh 1-st street, Yerevan","$2,500 monthly",USD,"Сдается частный дом в Джрвеже с открытым бассейном.Оснащен всеми удобствамиОткрытый бассейн с качественной системой фильтрации.В саду: Диваны, кресла-качалкиГриль с шампурамиТонир-Ванные комнатыХолодильники, всё необходимое для проживания.Կոդ 2222",Nov-24-2022_22-35,Available,3 or more spots,,,5,Yes,No,Not included,1 month,https://list.am/en/item/18194700
House,Monolith,800 sq.m.,2,5,3+,Designer Renovation,150 sq.m.,"Dzoraghbyur 1-st block, Dzoraxbyur","$2,500 monthly",USD,"Сдается капитально отремонтированный 2-х этажный дом в селе Дзорахпюр. 1 этаж: 3 спальни, столовая, кухня, 2 санузла,На 2 этаже столовая, спальня, небольшая кухня, 1 санузел.Зеленый сад, павильон на 25 мест, тонир, мангал, парковка на 4 машины.Дом обеспечен всеми коммунальными удобствами, имуществом, оборудованием.Если хотите, мы можем предоставить уборщицу. Без животных, 2500$",Nov-24-2022_22-35,Available,2 spots,,,6,Yes,No,Not included,1 month,https://list.am/en/item/17767017
House,Monolith,300 sq.m.,2,6,3+,Designer Renovation,200 sq.m.,Kotayk › Jrvezh,"$1,500 monthly",USD,"Fully renovated private house is for rent in Jrvezh. It has 5 separate bedrooms, 3 bathrooms, living room, entrance hall, parking lot, individual heating system, air conditioner, necessary furniture and equipment. The private house is fully renovated and uninhabited.Translated from Armenian",Nov-24-2022_22-35,Available,2 spots,,,6,Yes,Yes,Not included,1 month,https://list.am/en/item/17539427
House,Monolith,300 sq.m.,2,5,3+,Designer Renovation,600 sq.m.,"Jrvezh 1-st street, Yerevan","$3,500 monthly",USD,"Сдается с дизайном ремонтом элегантный дом. 2 этажный дом, 5 комнат, открытый бассейн, летняя беседка, камин, 2 открытых балкона. (2 этажа, 250 кв / м жилая, 500 квм земля. Постоянная горячая и холодная вода, система отопления,ТВ, Интернет Wi-Fi, кондиционер.Ворота с дистанционным управлением, парковка на 5 машины, сигнализация.1 этаж - гостиная, кухня, санузел, 1 спальня с душевой, 2 туалета,2 этаж - прихожая, 3 спальни, одна из которых имеет свой санузел и открытый балкон, в другой спальне есть французский балкон. По вопросам звоните или пишите по следующим номером.",Nov-24-2022_22-35,Available,2 spots,,,5,Yes,No,Not included,1 month,https://list.am/en/item/17713888
House,Monolith,500 sq.m.,2,4,2,Major Renovation,200 sq.m.,"Jrvezh 2-nd street 11, Yerevan","800,000 ֏ monthly",AMD,"Сдаётся собственни 2 етажни дом в джрвеже, ест всё необходимое для проживания, по вопросам звоните…",Nov-24-2022_22-35,Available,2 spots,,,5,Yes,Yes,Not included,1 month,https://list.am/en/item/18061098
House,Monolith,250 sq.m.,2,4,2,Designer Renovation,500 sq.m.,"1-й переулок 1-й улицы 1, Птгни","$2,000 monthly",USD,"Fully renovated with the necessary furniture and appliances. For details, call the mentioned phone number.Translated from Armenian",Nov-24-2022_22-35,Available,2 spots,,,4,Yes,Yes,Not included,1 month,https://list.am/en/item/17660181
House,Monolith,500 sq.m.,2,4,3+,Designer Renovation,200 sq.m.,"Dzoraghbyur 1-st block, Dzoraxbyur","$2,000 monthly",USD,"Сдаётся 2 этажный дом в Дзорахпюре. 4 спальни, посуда, интернет, ест все удобства для проживания. По вопросам званите…",Nov-24-2022_22-35,Available,2 spots,,,7,Yes,Yes,Not included,1 month,https://list.am/en/item/18076584
House,Monolith,600 sq.m.,2,3,2,Designer Renovation,150 sq.m.,"Dzoraghbyur 1-st block, Dzoraxbyur","$2,000 monthly",USD,"Сдается дом в Дзорахпюре. Летний дом капитально отремонтирован. Три спальни. Есть бассейн, сад с фруктовыми деревьями, где есть беседка (бесетка), мангал. На первом этаже есть бильярдный стол. Постоянная горячая-холодная вода, центральное отопление. Без животных. Цена 2000$",Nov-24-2022_22-35,Available,2 spots,,,5,Yes,Yes,Not included,1 month,https://list.am/en/item/17767347
House,Monolith,800 sq.m.,3,5,3+,Designer Renovation,200 sq.m.,"Dzoraghbyur 1-st block, Dzoraxbyur","$2,500 monthly",USD,"В дзорахпюре сдаётся 3 этажный дом, 5 спальни, кондиционер, есть все удобства для проживания. По вопросам званите.",Nov-24-2022_22-35,Available,2 spots,,,5,Yes,No,Not included,1 month,https://list.am/en/item/18076471
House,Monolith,250 sq.m.,2,4,2,Designer Renovation,500 sq.m.,Kotayk › Dzoraghbyur,"$2,000 monthly",USD,"Fully renovated with the necessary furniture, appliances, swimming pool, private house will be ready for rent on 01.05.2022, at the moment improvement works are underway. For details, call the mentioned phone number.Translated from Armenian",Nov-24-2022_22-35,Available,2 spots,,,5,Yes,No,Not included,1 month,https://list.am/en/item/17660225
House,Monolith,300 sq.m.,2,5,2,Major Renovation,800 sq.m.,"Bagrevand street, Yerevan","$2,000 monthly",USD,"3-х этажный частный дом, ремонт, мебель. На участке растут плодовые деревья и декоративные растения. Есть бильярд и теннис. По вопросам звоните. Сдается на долгий период.",Nov-24-2022_22-35,Available,2 spots,,,6,Yes,Yes,Not included,1 month,https://list.am/en/item/17713881
House,Monolith,150 sq.m.,2,3,2,Designer Renovation,300 sq.m.,"Dzoraghbyur 1-st block, Dzoraxbyur","$2,500 monthly",USD,"Сдается летний дом в Дзорахпюре. 3 этажа. Евро ремонт. Со всеми удобствами. Баня в отдельном здании. Бассейн, гриль и другие удобства. В саду растут декоративные и фруктовые деревья. Он находится в очень хорошем, удобном месте. Интернет в юком рядом магазины и хорошие соседи. Постоянная вода электричество газ.",Nov-24-2022_22-35,Available,2 spots,,,6,Yes,Yes,Not included,1 month,https://list.am/en/item/17726254
Country House,Stone,600 sq.m.,1,4,3+,Major Renovation,,Kotayk › Nor Hachen,"110,000 ֏ monthly",AMD,"Guest house with daily rent in Nor Hachn city (15 minutes from the city)110,000 dr per dayChristmas rates availableThe space is designed for up to 25 people.The area is provided in full.Outdoor and indoor halls,Outdoor swimming pool (for children),Indoor pool, 9/ 4 / 2sauna,all 4 bedrooms have en-suite bathroomsKitchen with all amenities, dishes...One bedroom is provided for childcareSmart tvWIFI,player,air conditioner,Bathroom.Saturday Sunday 130,000140,000 per nightTranslated from Armenian",Nov-24-2022_22-35,,,,,8+,Yes,No,Not included,By Agreement,https://list.am/en/item/18327267
House,Panels,400 sq.m.,3,5,3+,Designer Renovation,1800 sq.m.,"Verin Ptghni Մ-4, Yerevan","$2,000 monthly",USD,"A beautiful 3-storey private house for rent in a very busy part of Pattni, has all utilities, 2 heating systems, swimming pools, constant hot and cold water, gas, 5 bedrooms, furniture, appliances, all conditions for living are available. Also available with pets.Translated from Armenian",Nov-24-2022_22-35,,2 spots,,,6,Yes,Yes,Not included,2 months,https://list.am/en/item/18267420
Country House,Monolith,100 sq.m.,2,3,2,Euro Renovation,4500 sq.m.,Kotayk › Jrvezh,"70,000 ֏ daily",AMD,"A summer house in Dzoraghbyur is for daily rent, where you can hold any gathering and event.*The yard has all the facilities for a complete rest.*Swimming pool: Filtered, heated.*Beautiful yard: Green area, fruit trees, fir tree alley.*Toner with all its accessories*Barbecue with all its accessories*Large summer pavilion furnished in a beautiful wooden style*small booth*several separate resting places in the park with hammocks and park chairs*Bathroom,*Parking space for 10 cars* WiFi,*dishes*Rest room provided* Designed for 30 people.* Provided exclusively without overnight stay.Translated from Armenian",Nov-24-2022_22-35,Available,3 or more spots,,,8+,Yes,No,Included,Without prepayment,https://list.am/en/item/17966548
Country House,Stone,400 sq.m.,3,6,3+,Major Renovation,2400 sq.m.,Kotayk › Arinj,"45,000 ֏ daily",AMD,"A private house in Arinj is available for rent on a daily basis, as well as on a monthly basis.Provided with all utilities. It has a large, cultivated, beautiful garden, a comfortable pavilion, a barbecue. If necessary, we also provide dishes...Translated from Armenian",Nov-24-2022_22-35,,,,,8+,Yes,Yes,By Agreement,By Agreement,https://list.am/en/item/17949765
House,Stone,450 sq.m.,3,4,3+,Designer Renovation,980 sq.m.,Kotayk › Tsakhkadzor,"700,000 ֏ monthly",AMD,"A detached house in Tsaghkadzor, which has 4 bedrooms, 3 bathrooms, living rooms, a large library. Outside there is a recreation area, an orchard and a pavilion. For details, call with code: Asatryan HouseTranslated from Armenian",Nov-24-2022_22-35,By agreement,Not available,,,5,Yes,No,By Agreement,By Agreement,https://list.am/en/item/18362859
Country House,Monolith,65 sq.m.,1,3,2,Euro Renovation,500 sq.m.,"Դարանի փողոց 33, Նուռնուս","20,000 ֏ daily",AMD,"A country house is for rent both daily and long-term. The summer house has a pavilion for 25 people, there is drinking and irrigation water, electricity for the orchard. It is also provided with overnight stay. It is also for sale for $32,000, negotiable. Call for detailsTranslated from Armenian",Nov-24-2022_22-35,Available,Not available,,,8+,Yes,No,By Agreement,By Agreement,https://list.am/en/item/17561223
House,Stone,80 sq.m.,2,3,1,Major Renovation,10 sq.m.,Kotayk › Garni,"45,000 ֏ daily",AMD,"Two-story private house for rent in Garni, AMD 45,000 per day. There is an open balcony. Equipped with new appliances and new furniture. Renovated, individual heating system, with property, refrigerator, washing machine, gas stove, dishes, grill toaster. Up to 5-6 people with overnight stay.Free garage, parking is available. View to Garnu Cathedral. The Holy Cross Church is located next door. The price is negotiableTranslated from Armenian",Nov-24-2022_22-35,Available,1 spot,TElevision,"FRidge, microwave, washing machine, water heater, iron, hair dryer",7,Yes,Yes,Included,By Agreement,https://list.am/en/item/17564657
Country House,Stone,600 sq.m.,2,4,2,Designer Renovation,1000 sq.m.,Kotayk › Nurnus,"50,000 ֏ daily",AMD,"Aram NurnusThe overnight house accommodates 8 peopleDaily wage: 50,000 - 60,000Daily wage / accommodation 70 000Code AramNurTranslated from Armenian",Nov-24-2022_22-35,By agreement,Not available,,,8+,Yes,No,By Agreement,By Agreement,https://list.am/en/item/16602818
House,Stone,235 sq.m.,1,4,2,Designer Renovation,850 sq.m.,Kotayk › Arzni,"70,000 ֏ daily",AMD,"Arzni Verona:A luxurious two-story house with all amenities for daily rent.Outdoor pool, 4 bedrooms, 2 bathrooms, game room and other amenities.The price does not include overnight stay.Code AzVerona:Translated from Armenian",Nov-24-2022_22-35,By agreement,Not available,,,8+,Yes,No,By Agreement,By Agreement,https://list.am/en/item/18053011
